# packages in environment at /home/haolingp/miniconda3/envs/SMT:
#
# Name                               Version          Build                 Channel
_libgcc_mutex                        0.1              main
_openmp_mutex                        5.1              1_gnu
accelerate                           1.11.0           pypi_0                pypi
adwaita-icon-theme                   49.0             unix_0                conda-forge
aiohappyeyeballs                     2.6.1            pypi_0                pypi
aiohttp                              3.13.2           pypi_0                pypi
aiosignal                            1.4.0            pypi_0                pypi
annotated-doc                        0.0.4            pypi_0                pypi
annotated-types                      0.7.0            pypi_0                pypi
anyio                                4.11.0           pypi_0                pypi
aom                                  3.5.0            h27087fc_0            conda-forge
asttokens                            3.0.0            pyhd8ed1ab_1          conda-forge
async-timeout                        5.0.1            pypi_0                pypi
at-spi2-atk                          2.38.0           h0630a04_3            conda-forge
at-spi2-core                         2.40.3           h0630a04_0            conda-forge
atk-1.0                              2.38.0           h04ea711_2            conda-forge
attrs                                25.4.0           pypi_0                pypi
audioread                            3.0.1            py310hff52083_3       conda-forge
baumwelch                            0.3.11           hb700be7_0            conda-forge
biopython                            1.86             py310h7c4b9e2_0       conda-forge
boost-cpp                            1.85.0           h3c6214e_4            conda-forge
brotli                               1.2.0            h41a2e66_0            conda-forge
brotli-bin                           1.2.0            hf2c8021_0            conda-forge
brotli-python                        1.2.0            py310h8cfb67f_0       conda-forge
bzip2                                1.0.8            h5eee18b_6
c-ares                               1.34.5           hb9d3cd8_0            conda-forge
ca-certificates                      2025.11.12       hbd8a1cb_0            conda-forge
cairo                                1.18.4           h44eff21_0
certifi                              2025.11.12       pyhd8ed1ab_0          conda-forge
cffi                                 1.17.1           py310h8deb56e_0       conda-forge
charset-normalizer                   3.4.4            pyhd8ed1ab_0          conda-forge
click                                8.3.1            pypi_0                pypi
cloudpickle                          3.1.2            pypi_0                pypi
cmake                                4.1.2            pypi_0                pypi
colorama                             0.4.6            pyhd8ed1ab_1          conda-forge
comm                                 0.2.3            pyhe01879c_0          conda-forge
contourpy                            1.3.2            py310h3788b33_0       conda-forge
cycler                               0.12.1           pyhd8ed1ab_1          conda-forge
cyrus-sasl                           2.1.28           hd9c7081_0            conda-forge
dataclassy                           1.0.1            pyhd8ed1ab_0          conda-forge
datasets                             4.4.1            pypi_0                pypi
dbus                                 1.16.2           h3c4dab8_0            conda-forge
debugpy                              1.8.17           py310h25320af_0       conda-forge
decorator                            5.2.1            pyhd8ed1ab_0          conda-forge
dill                                 0.4.0            pypi_0                pypi
diskcache                            5.6.3            pypi_0                pypi
distro                               1.9.0            pypi_0                pypi
epoxy                                1.5.10           hb03c661_2            conda-forge
exceptiongroup                       1.3.0            pyhd8ed1ab_0          conda-forge
executing                            2.2.1            pyhd8ed1ab_0          conda-forge
expat                                2.7.1            hecca717_0            conda-forge
fastapi                              0.121.2          pypi_0                pypi
ffmpeg                               5.1.2            gpl_h8dda1f0_106      conda-forge
filelock                             3.20.0           pypi_0                pypi
font-ttf-dejavu-sans-mono            2.37             hab24e00_0            conda-forge
font-ttf-inconsolata                 3.000            h77eed37_0            conda-forge
font-ttf-source-code-pro             2.038            h77eed37_0            conda-forge
font-ttf-ubuntu                      0.83             h77eed37_3            conda-forge
fontconfig                           2.14.1           h55d465d_3
fonts-conda-ecosystem                1                0                     conda-forge
fonts-conda-forge                    1                hc364b38_1            conda-forge
fonttools                            4.60.1           py310h3406613_0       conda-forge
freetype                             2.14.1           ha770c72_0            conda-forge
fribidi                              1.0.16           hb03c661_0            conda-forge
frozenlist                           1.8.0            pypi_0                pypi
fsspec                               2025.10.0        pypi_0                pypi
gdk-pixbuf                           2.42.10          h05c8ddd_0            conda-forge
gettext                              0.25.1           h3f43e3d_1            conda-forge
gettext-tools                        0.25.1           h3f43e3d_1            conda-forge
glib                                 2.84.4           h5bdd934_0
glib-tools                           2.84.4           h8875d55_0
gmp                                  6.3.0            hac33072_2            conda-forge
gnutls                               3.7.9            hb077bed_0            conda-forge
graphite2                            1.3.14           hecca717_2            conda-forge
graphviz                             12.2.1           h053244a_2
greenlet                             3.2.4            py310hea6c23e_1       conda-forge
gtk3                                 3.24.21          h40e4fd3_8
gts                                  0.7.6            h977cf35_4            conda-forge
h11                                  0.16.0           pypi_0                pypi
h2                                   4.3.0            pyhcf101f3_0          conda-forge
harfbuzz                             10.4.0           h76408a6_0            conda-forge
hdbscan                              0.8.39           py310hf779ad0_1       conda-forge
hf-transfer                          0.1.9            pypi_0                pypi
hf-xet                               1.2.0            pypi_0                pypi
hicolor-icon-theme                   0.17             ha770c72_2            conda-forge
hpack                                4.1.0            pyhd8ed1ab_0          conda-forge
httpcore                             1.0.9            pypi_0                pypi
httptools                            0.7.1            pypi_0                pypi
httpx                                0.28.1           pypi_0                pypi
huggingface-hub                      0.36.0           pypi_0                pypi
hyperframe                           6.1.0            pyhd8ed1ab_0          conda-forge
icu                                  75.1             he02047a_0            conda-forge
idna                                 3.11             pyhd8ed1ab_0          conda-forge
importlib-metadata                   8.7.0            pyhe01879c_1          conda-forge
interegular                          0.3.3            pypi_0                pypi
ipykernel                            7.1.0            pyha191276_0          conda-forge
ipython                              8.37.0           pyh8f84b5b_0          conda-forge
jedi                                 0.19.2           pyhd8ed1ab_1          conda-forge
jinja2                               3.1.6            pypi_0                pypi
jiter                                0.12.0           pypi_0                pypi
joblib                               1.5.2            pyhd8ed1ab_0          conda-forge
jpeg                                 9e               h0b41bf4_3            conda-forge
jsonschema                           4.25.1           pypi_0                pypi
jsonschema-specifications            2025.9.1         pypi_0                pypi
jupyter_client                       8.6.3            pyhd8ed1ab_1          conda-forge
jupyter_core                         5.9.1            pyhc90fa1f_0          conda-forge
kaldi                                5.5.1172         cpu_ha6a0dec_1        conda-forge
kalpy                                0.8.2            py310h03d9f68_0       conda-forge
keyutils                             1.6.3            hb9d3cd8_0            conda-forge
kiwisolver                           1.4.9            py310haaf941d_2       conda-forge
kneed                                0.8.5            pyhd8ed1ab_1          conda-forge
krb5                                 1.21.3           h723845a_4
lame                                 3.100            h166bdaf_1003         conda-forge
lark                                 1.3.1            pypi_0                pypi
lazy-loader                          0.4              pyhd8ed1ab_2          conda-forge
lazy_loader                          0.4              pyhd8ed1ab_2          conda-forge
lcms2                                2.16             hb9589c4_0
ld_impl_linux-64                     2.44             h153f514_2
lerc                                 4.0.0            h0aef613_1            conda-forge
libasprintf                          0.25.1           h3f43e3d_1            conda-forge
libasprintf-devel                    0.25.1           h3f43e3d_1            conda-forge
libblas                              3.9.0            38_h4a7cf45_openblas  conda-forge
libboost                             1.85.0           h0ccab89_4            conda-forge
libboost-devel                       1.85.0           h00ab1b0_4            conda-forge
libboost-headers                     1.85.0           ha770c72_4            conda-forge
libbrotlicommon                      1.2.0            h09219d5_0            conda-forge
libbrotlidec                         1.2.0            hd53d788_0            conda-forge
libbrotlienc                         1.2.0            h02bd7ab_0            conda-forge
libcblas                             3.9.0            38_h0358290_openblas  conda-forge
libcups                              2.3.3            hb8b1518_5            conda-forge
libcurl                              8.17.0           h4e3cde8_0            conda-forge
libdeflate                           1.22             hb9d3cd8_0            conda-forge
libdrm                               2.4.125          hb03c661_1            conda-forge
libedit                              3.1.20250104     pl5321h7949ede_0      conda-forge
libegl                               1.7.0            ha4b6fd6_2            conda-forge
libegl-devel                         1.7.0            ha4b6fd6_2            conda-forge
libev                                4.33             hd590300_2            conda-forge
libexpat                             2.7.1            hecca717_0            conda-forge
libffi                               3.4.4            h6a678d5_1
libflac                              1.4.3            h59595ed_0            conda-forge
libfreetype                          2.14.1           ha770c72_0            conda-forge
libfreetype6                         2.14.1           h73754d4_0            conda-forge
libgcc                               15.2.0           h767d61c_7            conda-forge
libgcc-ng                            15.2.0           h69a702a_7            conda-forge
libgd                                2.3.3            h695aa2c_1
libgettextpo                         0.25.1           h3f43e3d_1            conda-forge
libgettextpo-devel                   0.25.1           h3f43e3d_1            conda-forge
libgfortran                          15.2.0           h69a702a_7            conda-forge
libgfortran5                         15.2.0           hcd61629_7            conda-forge
libgl                                1.7.0            ha4b6fd6_2            conda-forge
libgl-devel                          1.7.0            ha4b6fd6_2            conda-forge
libglib                              2.84.4           h77a78f3_0
libglvnd                             1.7.0            ha4b6fd6_2            conda-forge
libglx                               1.7.0            ha4b6fd6_2            conda-forge
libglx-devel                         1.7.0            ha4b6fd6_2            conda-forge
libgomp                              15.2.0           h767d61c_7            conda-forge
libiconv                             1.18             h3b78370_2            conda-forge
libidn2                              2.3.8            hfac485b_1            conda-forge
libkrb5                              1.21.3           h520c7b4_4
liblapack                            3.9.0            38_h47877c9_openblas  conda-forge
liblapacke                           3.9.0            38_h6ae95b6_openblas  conda-forge
libltdl                              2.4.3a           h5888daf_0            conda-forge
libnghttp2                           1.67.0           had1ee68_0            conda-forge
libnsl                               2.0.0            h5eee18b_0
libntlm                              1.8              hb9d3cd8_0            conda-forge
libogg                               1.3.5            hd0c01bc_1            conda-forge
libopenblas                          0.3.30           pthreads_h94d23a6_3   conda-forge
libopus                              1.5.2            hd0c01bc_0            conda-forge
libpciaccess                         0.18             hb9d3cd8_0            conda-forge
libpng                               1.6.50           h421ea60_1            conda-forge
libpq                                17.3             h27ae623_0            conda-forge
librosa                              0.11.0           pyhd8ed1ab_0          conda-forge
librsvg                              2.56.3           hf6914bd_1
libsndfile                           1.2.2            hc60ed4a_1            conda-forge
libsodium                            1.0.20           h4ab18f5_0            conda-forge
libsqlite                            3.51.0           hee844dc_0            conda-forge
libssh2                              1.11.1           hcf80075_0            conda-forge
libstdcxx                            15.2.0           h8f9b012_7            conda-forge
libstdcxx-ng                         15.2.0           h4852527_7            conda-forge
libtasn1                             4.20.0           hb03c661_1            conda-forge
libtiff                              4.5.1            hffd6297_1
libtool                              2.5.4            h5888daf_0            conda-forge
libunistring                         0.9.10           h7f98852_0            conda-forge
libuuid                              1.41.5           h5eee18b_0
libva                                2.22.0           h4f16b4b_2            conda-forge
libvorbis                            1.3.7            h54a6638_2            conda-forge
libvpx                               1.11.0           h9c3ff4c_3            conda-forge
libwebp-base                         1.6.0            hd42ef1d_0            conda-forge
libxcb                               1.17.0           h9b100fa_0
libxcrypt                            4.4.36           hd590300_1            conda-forge
libxml2                              2.13.5           hb346dea_0            conda-forge
libxslt                              1.1.39           h76b75d6_0            conda-forge
libzlib                              1.3.1            hb25bd0a_0
