file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ted_1366,0.0,456.2953125,ted_1366,-52.25454744685514,-55.86313080956839,102.95941183430222,5.890639975620383
ted_1359,0.0,373.0518125,ted_1359,-48.442665192333465,-52.339694793171425,76.93148134447397,6.907489912846366
ted_1137,0.0,946.724,ted_1137,-47.539034772688865,-49.98771134007296,68.75847814635055,5.5952677770112125
ted_1371,0.0,440.018125,ted_1371,-48.28172583064406,-50.4301656944251,65.98583860532848,5.682208940483649
ted_1171,0.0,251.1935,ted_1171,-46.14484055893945,-50.32521508234013,62.12768959460624,9.102499233363393
ted_1368,0.0,736.537,ted_1368,-45.18599125641513,-48.99996464417254,58.782366480536005,12.427777934724448
ted_1353,0.0,381.8289375,ted_1353,-44.72417698975984,-49.608886029685884,57.806319582969174,11.650331553251366
ted_1346,0.0,1150.2004375,ted_1346,-49.375769431403235,-51.53279557140633,49.181371258314186,13.944638305203334
ted_1096,0.0,280.93825,ted_1096,-48.29001299209796,-51.03742888868963,41.496227064960316,8.532776257037657
ted_1115,0.0,469.8325625,ted_1115,-48.87255496669008,-50.81066904315524,40.59945936333653,8.073217825419167
ted_1378,0.0,1421.0148125,ted_1378,-45.895306859205775,-47.98165211454255,40.108174524818914,9.951238475147793
ted_1131,0.0,1041.4381875,ted_1131,-44.6510120602243,-46.369976864092784,35.863315050105584,7.487749076641615
ted_1381,0.0,731.0570625,ted_1381,-46.432317456843485,-49.551424824834264,34.40741299915399,12.600079478343162
ted_1114,0.0,1168.1495,ted_1114,-48.31634207935625,-51.649726708392826,32.74077118846442,5.569760557982379
ted_1165,0.0,553.633375,ted_1165,-47.5994301248126,-48.770694689036105,31.267194089087702,10.603876134774243
ted_1102,0.0,421.39575,ted_1102,-47.675350023730424,-50.195502837070556,31.233186252520127,7.440284002091547
ted_1161,0.0,324.8239375,ted_1161,-51.201034419062864,-53.9356832366613,29.158193654317387,8.746971843684559
ted_1330,0.0,965.4160625,ted_1330,-54.48389819974726,-57.601280151325895,26.604615531386965,8.997010986493901
ted_1160,0.0,471.249,ted_1160,-44.876503978779844,-47.3619017120495,25.377538202369667,8.790350609845557
ted_1104,0.0,383.733,ted_1104,-44.51304954004117,-47.853332123927,24.34425319742242,8.327643071194053
ted_1166,0.0,1128.420125,ted_1166,-52.7091951578313,-54.19781899505878,22.825559444814818,6.41972217108572
ted_1337,0.0,1169.031875,ted_1337,-46.28421854015723,-49.45790476074972,20.878478330785377,5.980327139846773
ted_1176,0.0,213.6468125,ted_1176,-43.653650830798036,-44.853085238882834,20.76819145204932,8.481110103291247
ted_1375,0.0,974.3093125,ted_1375,-47.506204390799645,-50.92915462402266,17.810127044835824,13.192642029323762
ted_1404,0.0,327.1691875,ted_1404,-48.98820185224807,-51.697687659758685,17.44179212906682,6.3085154443920235
ted_1144,0.0,335.78375,ted_1144,-47.78338495443445,-49.51062441009609,16.624431415649724,3.661863028418999
ted_1328,0.0,563.3393125,ted_1328,-45.15865196861576,-49.746511222837505,16.50867672144631,3.0825591293386783
