file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
utt_1,0.0,30.48,mfa_corpus_test,-61.7153563812336,-63.15803619384766,12.487563728585807,2.3295702822326394
utt_19,0.0,8.0,mfa_corpus_test,-59.4367041015625,-61.27351948986315,5.793592220536425,4.543924359683612
utt_6,0.0,4.0,mfa_corpus_test,-61.9689111328125,-61.03921236310686,5.600658198437845,2.498779546400323
utt_15,0.0,7.62,mfa_corpus_test,-60.541379593175854,-62.2931896032289,5.405410037622914,5.223921450962363
utt_4,0.0,34.98,mfa_corpus_test,-59.77480881932533,-62.53687918364112,5.382049673338212,2.754041507363202
utt_12,0.0,12.28,mfa_corpus_test,-59.8227046009772,-61.72552665622755,4.786748473086779,2.259544686846155
utt_2,0.0,39.48,mfa_corpus_test,-62.100244585866264,-61.30299896417662,4.719199689609917,0.8673067153826821
utt_10,0.0,11.3,mfa_corpus_test,-61.17289823008849,-62.716926547459195,4.125005128359515,3.640529465301924
utt_5,0.0,26.68,mfa_corpus_test,-61.96593304910045,-65.69894029003079,3.9442626660334703,13.67519512054314
utt_7,0.0,6.0,mfa_corpus_test,-59.36921875,-61.241070188325025,3.858155582150005,1.5669041478248928
utt_17,0.0,6.0,mfa_corpus_test,-60.74694010416667,-61.47003819783529,3.5536641241156333,4.34396148991671
utt_9,0.0,37.5,mfa_corpus_test,-61.021325,-61.10743683909142,3.520171594499569,2.113421626628825
utt_14,0.0,6.16,mfa_corpus_test,-61.89047280844156,-64.686192896459,2.415661966351449,13.430919541378557
utt_3,0.0,6.0,mfa_corpus_test,-59.986953125,-66.63896363973618,2.3480335092769113,12.881010495488777
utt_0,0.0,5.54,mfa_corpus_test,-63.42962404106498,-63.67389045327397,2.0501155179733552,-1.1385685824786762
utt_11,0.0,0.84,mfa_corpus_test,-60.815790085565474,-60.64046211242676,1.8814083656541076,-1.0970011982412045
utt_8,0.0,3.94,mfa_corpus_test,-61.07826380076142,-61.0152665051547,1.806112757419005,17.191808333837578
utt_13,0.0,3.18,mfa_corpus_test,-60.488066283411946,-62.62608293045399,1.667013694553941,8.441118747006906
utt_16,0.0,3.96,mfa_corpus_test,-61.85795947758838,-63.291800308227536,1.5747705731750488,1.8187811913198537
utt_18,0.0,2.0,mfa_corpus_test,-57.3637939453125,-59.88052865733271,1.5062711597613454,9.530215064244572
